ioi_sentences_input,ioi_sentences_labels,corr_ioi_sentences_input,corr_ioi_sentences_labels,ioi_sentences_labels_wrong,corr_ioi_sentences_labels_wrong
"After the lunch, Richard and Virginia went to the library. Richard gave a coconut to",Virginia,"After the lunch, River and Joseph went to the library. Turner gave a coconut to",Simone,Richard,River
"Then, Lula and Nellie were thinking about going to the beach. Lula wanted to give a pear to",Nellie,"Then, Tate and Dariana were thinking about going to the beach. Sabastian wanted to give a pear to",Ulysses,Lula,Tate
Friends Virginia and Melissa found a orange at the shop. Melissa gave it to,Virginia,Friends Madison and Melvin found a orange at the shop. Julian gave it to,Elizabeth,Melissa,Melvin
"When Jackie and Alicia got a plum at the library, Jackie decided to give it to",Alicia,"When Cassie and Aubrey got a plum at the library, Clarence decided to give it to",Glenn,Jackie,Cassie
"When Natasha and Rosemarie got a blackberry at the gym, Natasha decided to give the blackberry to",Rosemarie,"When Mohamed and Jaelyn got a blackberry at the gym, Cynthia decided to give the blackberry to",Itzel,Natasha,Mohamed
"Then, Susan and Maggie were thinking about going to the school. Maggie wanted to give a papaya to",Susan,"Then, Warren and Kaela were thinking about going to the school. Garrison wanted to give a papaya to",Rebecca,Maggie,Kaela
"After the lunch, Gwen and Yolanda went to the bar. Gwen gave a papaya to",Yolanda,"After the lunch, Deon and Aimee went to the bar. Cydney gave a papaya to",Samir,Gwen,Deon
The shop Marilyn and Sheila went to had a watermelon. Marilyn gave it to,Sheila,The shop Sydney and Denzel went to had a watermelon. Ryder gave it to,Hanna,Marilyn,Sydney
Friends Nellie and Leigh found a pear at the library. Leigh gave it to,Nellie,Friends Alonzo and Keira found a pear at the library. Delilah gave it to,Clifford,Leigh,Keira
"Then, Kari and Mark had a lot of fun at the theater. Kari gave a apple to",Mark,"Then, Gino and Chance had a lot of fun at the theater. Dulce gave a apple to",Lily,Kari,Gino
"After the lunch, Mattie and Leigh went to the library. Leigh gave a cherry to",Mattie,"After the lunch, Jaclyn and Iris went to the library. Blaine gave a cherry to",Shayla,Leigh,Iris
"While Marilyn and Brandy were commuting to the cafe, Marilyn gave a honeydew to",Brandy,"While Sylvia and Katrina were commuting to the cafe, Quinten gave a honeydew to",Jayden,Marilyn,Sylvia
The home Chelsea and Ethel went to had a honeydew. Ethel gave it to,Chelsea,The home Kevin and Gavin went to had a honeydew. Kurtis gave it to,Barry,Ethel,Gavin
"While Inez and Anita were working at the store, Inez gave a grape to",Anita,"While Lizeth and Renee were working at the store, Ricky gave a grape to",Darren,Inez,Lizeth
"While Amanda and Ethel were working at the cafe, Ethel gave a strawberry to",Amanda,"While Jorge and Hector were working at the cafe, Donnie gave a strawberry to",Gunner,Ethel,Hector
"While Alyssa and Rachel were commuting to the beach, Rachel gave a watermelon to",Alyssa,"While Darrion and Kim were commuting to the beach, Mariano gave a watermelon to",Moriah,Rachel,Kim
The zoo Stacy and Bernadette went to had a blueberry. Bernadette gave it to,Stacy,The zoo Amelia and Jaxson went to had a blueberry. Graciela gave it to,Hana,Bernadette,Jaxson
"While Sonia and Jacqueline were working at the school, Sonia gave a kiwi to",Jacqueline,"While Forrest and Shawna were working at the school, Asa gave a kiwi to",Sebastian,Sonia,Forrest
"Then, Sarah and Sophia went to the shop. Sophia gave a kiwi to",Sarah,"Then, Clinton and Romeo went to the shop. Desmond gave a kiwi to",Roy,Sophia,Romeo
The forest Chelsea and Fannie went to had a peach. Fannie gave it to,Chelsea,The forest Sam and Quinn went to had a peach. Leanna gave it to,Shane,Fannie,Quinn
"Then, Carmen and Velma had a lot of fun at the zoo. Velma gave a orange to",Carmen,"Then, Serenity and Benjamin had a lot of fun at the zoo. Uriel gave a orange to",Julianne,Velma,Benjamin
"When Carmen and Eleanor got a apple at the bar, Eleanor decided to give the apple to",Carmen,"When Guadalupe and Carson got a apple at the bar, Davis decided to give the apple to",Joel,Eleanor,Carson
"Then, Amanda and Kristina had a lot of fun at the desert. Kristina gave a plum to",Amanda,"Then, Elaine and Declan had a lot of fun at the desert. Donnie gave a plum to",Ivan,Kristina,Declan
"Then, Juana and Leigh went to the museum. Leigh gave a grape to",Juana,"Then, Zion and Kurt went to the museum. Nadine gave a grape to",Shayne,Leigh,Kurt
The desert Sophia and Amanda went to had a cherry. Sophia gave it to,Amanda,The desert Amina and Gideon went to had a cherry. Ralph gave it to,Pierce,Sophia,Amina
"When Doris and Ethel got a mango at the cave, Ethel decided to give the mango to",Doris,"When Megan and Oliver got a mango at the cave, Roy decided to give the mango to",Don,Ethel,Oliver
"When Rosemarie and Jody got a banana at the mountain, Jody decided to give the banana to",Rosemarie,"When Bridget and Easton got a banana at the mountain, Karina decided to give the banana to",Felicity,Jody,Easton
"When Alice and Theresa got a pineapple at the beach, Alice decided to give it to",Theresa,"When Lewis and Levi got a pineapple at the beach, Tanner decided to give it to",Carolyn,Alice,Lewis
The river Harriet and Kristina went to had a kiwi. Kristina gave it to,Harriet,The river Julian and Donnie went to had a kiwi. Jayda gave it to,Jessie,Kristina,Donnie
"Then, Alice and Alicia went to the store. Alice gave a blueberry to",Alicia,"Then, Edward and Sophie went to the store. Jenna gave a blueberry to",Bruno,Alice,Edward
"After the lunch, Inez and Sarah went to the river. Inez gave a papaya to",Sarah,"After the lunch, Lourdes and Madison went to the river. Aaliyah gave a papaya to",Clare,Inez,Lourdes
"While Megan and Loretta were commuting to the museum, Megan gave a raspberry to",Loretta,"While Jill and Athena were commuting to the museum, Moriah gave a raspberry to",Maci,Megan,Jill
Friends Grace and Stella found a cherry at the store. Grace gave it to,Stella,Friends Shaina and Jada found a cherry at the store. Chelsea gave it to,Axel,Grace,Shaina
"After Kevin and Janet went to the bar, Kevin gave a plum to",Janet,"After Steven and Frederick went to the bar, Trace gave a plum to",Nina,Kevin,Steven
"Then, Gwen and Kim went to the school. Gwen gave a banana to",Kim,"Then, Hailey and Jesus went to the school. Breana gave a banana to",Gia,Gwen,Hailey
"Then, Stacy and Sonia went to the mountain. Sonia gave a papaya to",Stacy,"Then, Willow and Sandy went to the mountain. Diane gave a papaya to",Ruby,Sonia,Sandy
"After the lunch, Jacqueline and Grace went to the museum. Grace gave a mango to",Jacqueline,"After the lunch, Tabitha and Jessie went to the museum. Gunnar gave a mango to",Cody,Grace,Jessie
"Then, Leigh and Heidi went to the home. Leigh gave a orange to",Heidi,"Then, Braxton and Herbert went to the home. Nikki gave a orange to",Ryan,Leigh,Braxton
"When Jessica and Charlene got a apple at the theater, Jessica decided to give it to",Charlene,"When Andre and Marlee got a apple at the theater, Tyson decided to give it to",Melisa,Jessica,Andre
"After Juana and Lee went to the cave, Lee gave a grape to",Juana,"After Amara and Anthony went to the cave, Helen gave a grape to",Lizeth,Lee,Anthony
"When Ethel and Kathryn got a pear at the museum, Ethel decided to give it to",Kathryn,"When Jessie and Leroy got a pear at the museum, Jamie decided to give it to",Robyn,Ethel,Jessie
"Then, Robin and Alyssa went to the school. Robin gave a coconut to",Alyssa,"Then, London and Demetrius went to the school. Lonnie gave a coconut to",Micah,Robin,London
"Afterwards, Velma and Deanna went to the gym. Velma gave a blueberry to",Deanna,"Afterwards, Kari and Orion went to the gym. Kaylin gave a blueberry to",Dallin,Velma,Kari
"Then, Faye and Paula were working at the lake. Faye decided to give a pear to",Paula,"Then, Troy and Jamal were working at the lake. Cooper decided to give a pear to",Harrison,Faye,Troy
"While Brian and Natasha were working at the beach, Natasha gave a pear to",Brian,"While Ali and Titus were working at the beach, George gave a pear to",Dan,Natasha,Titus
The cave Brian and Sophia went to had a honeydew. Sophia gave it to,Brian,The cave Edward and Octavio went to had a honeydew. Autumn gave it to,Lincoln,Sophia,Octavio
"After Anne and Estelle went to the shop, Estelle gave a strawberry to",Anne,"After Jackson and Christine went to the shop, Julie gave a strawberry to",Casey,Estelle,Christine
"Then, Virginia and Pat had a lot of fun at the cave. Pat gave a kiwi to",Virginia,"Then, Kyle and Raven had a lot of fun at the cave. Amir gave a kiwi to",Cassandra,Pat,Raven
"After Gwen and Heidi went to the lake, Gwen gave a coconut to",Heidi,"After Darren and Brady went to the lake, Kylee gave a coconut to",Paula,Gwen,Darren
"Then, Mark and Jody were thinking about going to the museum. Jody wanted to give a kiwi to",Mark,"Then, Roger and Paola were thinking about going to the museum. Sara wanted to give a kiwi to",Macie,Jody,Paola
"Then, Chelsea and Suzanne were working at the zoo. Suzanne decided to give a coconut to",Chelsea,"Then, Ty and Andreas were working at the zoo. Vanessa decided to give a coconut to",Jade,Suzanne,Andreas
"After Bernadette and Jacqueline went to the bar, Bernadette gave a raspberry to",Jacqueline,"After Rhianna and Kailyn went to the bar, Kiara gave a raspberry to",Calista,Bernadette,Rhianna
"Then, Alyssa and Natasha went to the cafe. Natasha gave a pineapple to",Alyssa,"Then, Desirae and Elisa went to the cafe. Jaren gave a pineapple to",Bailey,Natasha,Elisa
"After Pauline and Deanna went to the river, Pauline gave a papaya to",Deanna,"After Leo and Moses went to the river, Theodore gave a papaya to",Abigayle,Pauline,Leo
"Then, Paula and Teresa had a lot of fun at the cave. Teresa gave a cherry to",Paula,"Then, Emerson and Brenda had a lot of fun at the cave. Neil gave a cherry to",Baby,Teresa,Brenda
"Then, Jackie and Charlene went to the desert. Jackie gave a honeydew to",Charlene,"Then, Landen and Moises went to the desert. Virginia gave a honeydew to",Alicia,Jackie,Landen
"Then, Brandy and Estelle were thinking about going to the park. Estelle wanted to give a banana to",Brandy,"Then, Shayne and Katlyn were thinking about going to the park. Paulina wanted to give a banana to",Dylon,Estelle,Katlyn
The cafe Estelle and Juana went to had a mango. Estelle gave it to,Juana,The cafe Raphael and Kaleigh went to had a mango. Kristofer gave it to,Darby,Estelle,Raphael
"While Harriet and Robin were working at the desert, Robin gave a mango to",Harriet,"While Charity and Matthew were working at the desert, Scott gave a mango to",Devin,Robin,Matthew
"Then, Deanna and Lee were thinking about going to the cave. Lee wanted to give a banana to",Deanna,"Then, Rickey and Kelly were thinking about going to the cave. Ansley wanted to give a banana to",Heidi,Lee,Kelly
"Then, Ella and Violet went to the museum. Violet gave a kiwi to",Ella,"Then, Harold and Harrison went to the museum. Eliana gave a kiwi to",Davion,Violet,Harrison
"After the lunch, Eleanor and Mattie went to the cave. Eleanor gave a grape to",Mattie,"After the lunch, Destini and Judith went to the cave. Destin gave a grape to",Sarah,Eleanor,Destini
"Afterwards, Yvette and Evelyn went to the theater. Yvette gave a grape to",Evelyn,"Afterwards, Kameron and Vicente went to the theater. Nayeli gave a grape to",Iliana,Yvette,Kameron
"Then, Evelyn and Kelly went to the home. Kelly gave a pineapple to",Evelyn,"Then, Marquise and Lewis went to the home. Jordan gave a pineapple to",Alicia,Kelly,Lewis
"Then, Irma and Juana had a lot of fun at the mountain. Irma gave a cantaloupe to",Juana,"Then, Darian and Kennedi had a lot of fun at the mountain. Troy gave a cantaloupe to",Riley,Irma,Darian
Friends Stella and Richard found a orange at the lake. Richard gave it to,Stella,Friends Kurt and James found a orange at the lake. Barrett gave it to,Hayden,Richard,James
"Then, Carol and Anita were thinking about going to the shop. Carol wanted to give a pear to",Anita,"Then, Augustus and Laila were thinking about going to the shop. Titus wanted to give a pear to",Macy,Carol,Augustus
"Then, Rosa and Marilyn were thinking about going to the home. Marilyn wanted to give a cantaloupe to",Rosa,"Then, Gina and Cornelius were thinking about going to the home. Miranda wanted to give a cantaloupe to",Brittany,Marilyn,Cornelius
"After the lunch, Mona and Rosa went to the market. Mona gave a cherry to",Rosa,"After the lunch, Brice and Karla went to the market. Sebastian gave a cherry to",Chyna,Mona,Brice
"When Deanna and Estelle got a apple at the zoo, Estelle decided to give it to",Deanna,"When Alvin and Maribel got a apple at the zoo, Estrella decided to give it to",Tyree,Estelle,Maribel
"Then, William and Jackie were working at the cave. Jackie decided to give a papaya to",William,"Then, Baby and Simone were working at the cave. Tanner decided to give a papaya to",Jared,Jackie,Simone
"When Rebecca and Alyssa got a cantaloupe at the store, Rebecca decided to give the cantaloupe to",Alyssa,"When Kaylynn and Tristin got a cantaloupe at the store, Kiera decided to give the cantaloupe to",Braxton,Rebecca,Kaylynn
"Then, Sophia and Deanna went to the theater. Sophia gave a apple to",Deanna,"Then, Annamarie and Rayna went to the theater. Milton gave a apple to",Skyler,Sophia,Annamarie
"While Violet and Theresa were working at the zoo, Violet gave a plum to",Theresa,"While Alec and Amber were working at the zoo, Dawn gave a plum to",Erica,Violet,Alec
"Then, Megan and Alyssa were thinking about going to the desert. Megan wanted to give a kiwi to",Alyssa,"Then, Daniela and Tristan were thinking about going to the desert. Sarina wanted to give a kiwi to",Collin,Megan,Daniela
The river Virginia and Jody went to had a honeydew. Jody gave it to,Virginia,The river Austin and Keely went to had a honeydew. Valeria gave it to,Sterling,Jody,Keely
"When Teresa and Evelyn got a blackberry at the gym, Teresa decided to give the blackberry to",Evelyn,"When Raina and Katelyn got a blackberry at the gym, Gerald decided to give the blackberry to",Sandra,Teresa,Raina
"Then, Erika and Stacy had a lot of fun at the zoo. Erika gave a peach to",Stacy,"Then, Luciano and Shannon had a lot of fun at the zoo. Moriah gave a peach to",Donna,Erika,Luciano
"Then, Pauline and Ella were working at the zoo. Pauline decided to give a grape to",Ella,"Then, Melvin and Quinton were working at the zoo. Silvia decided to give a grape to",Cassie,Pauline,Melvin
"Then, Megan and Virginia were working at the gym. Megan decided to give a mango to",Virginia,"Then, Ronaldo and Thomas were working at the gym. Hugo decided to give a mango to",Dawson,Megan,Ronaldo
"Then, David and Alice went to the mountain. Alice gave a honeydew to",David,"Then, Dallas and Steven went to the mountain. Kent gave a honeydew to",Reid,Alice,Steven
"While Anne and Leigh were working at the lake, Leigh gave a watermelon to",Anne,"While Todd and Destini were working at the lake, Andrea gave a watermelon to",Roberto,Leigh,Destini
"Then, Alyssa and Yvette were working at the bar. Yvette decided to give a watermelon to",Alyssa,"Then, Daphne and Madeline were working at the bar. Layla decided to give a watermelon to",Angelica,Yvette,Madeline
"After Geneva and Ginger went to the theater, Geneva gave a cantaloupe to",Ginger,"After Noelle and Frederick went to the theater, Ryder gave a cantaloupe to",Reid,Geneva,Noelle
"While Chelsea and Geneva were working at the desert, Geneva gave a plum to",Chelsea,"While Alex and Sheridan were working at the desert, Faith gave a plum to",Warren,Geneva,Sheridan
"When Eleanor and Sarah got a strawberry at the library, Eleanor decided to give it to",Sarah,"When Nina and Ryan got a strawberry at the library, Quinn decided to give it to",Eric,Eleanor,Nina
"While Estelle and Angie were commuting to the lake, Estelle gave a banana to",Angie,"While Nicolas and Maci were commuting to the lake, Mekhi gave a banana to",Ericka,Estelle,Nicolas
"Then, Diana and Robin were working at the market. Robin decided to give a cherry to",Diana,"Then, Jenna and Todd were working at the market. Alison decided to give a cherry to",Alex,Robin,Todd
"Then, Melissa and Stella had a lot of fun at the mountain. Melissa gave a raspberry to",Stella,"Then, Nathan and Ahmed had a lot of fun at the mountain. Hope gave a raspberry to",Bruno,Melissa,Nathan
"When Carol and David got a blackberry at the desert, Carol decided to give the blackberry to",David,"When Brooke and Kelly got a blackberry at the desert, Maria decided to give the blackberry to",Frances,Carol,Brooke
"Then, Kim and Richard were working at the park. Richard decided to give a kiwi to",Kim,"Then, India and Stone were working at the park. Neil decided to give a kiwi to",Gabriel,Richard,Stone
Friends Leigh and Evelyn found a blackberry at the theater. Leigh gave it to,Evelyn,Friends Denise and Daija found a blackberry at the theater. Brock gave it to,Nichole,Leigh,Denise
Friends Stacy and Kristi found a raspberry at the beach. Kristi gave it to,Stacy,Friends Kaylee and Laisha found a raspberry at the beach. Dean gave it to,Josh,Kristi,Laisha
"After the lunch, Anita and Miriam went to the shop. Miriam gave a banana to",Anita,"After the lunch, Isaiah and Deangelo went to the shop. Ladarius gave a banana to",Sage,Miriam,Deangelo
"After the lunch, Wilma and Kevin went to the cave. Kevin gave a papaya to",Wilma,"After the lunch, Colleen and London went to the cave. Raina gave a papaya to",Randy,Kevin,London
"When Lee and Angie got a pineapple at the market, Lee decided to give it to",Angie,"When Jane and Griffin got a pineapple at the market, Juanita decided to give it to",Donald,Lee,Jane
"While Maggie and Susan were working at the museum, Maggie gave a pineapple to",Susan,"While Aldo and Morgan were working at the museum, Rose gave a pineapple to",Karen,Maggie,Aldo
"Then, Mildred and Maggie went to the mountain. Maggie gave a orange to",Mildred,"Then, Isidro and Kevon went to the mountain. Derrick gave a orange to",Simone,Maggie,Kevon
"After Kevin and Yolanda went to the museum, Kevin gave a blueberry to",Yolanda,"After Raven and Cynthia went to the museum, Kaylin gave a blueberry to",Nikita,Kevin,Raven
"After the lunch, Marilyn and Paula went to the museum. Marilyn gave a pineapple to",Paula,"After the lunch, Santos and Cameron went to the museum. Tyler gave a pineapple to",Rodrigo,Marilyn,Santos
"Then, Jerry and Rebecca went to the park. Rebecca gave a peach to",Jerry,"Then, Stephen and Darren went to the park. Seth gave a peach to",Tommy,Rebecca,Darren
"When Robin and Sheila got a blueberry at the home, Robin decided to give it to",Sheila,"When Ian and Itzel got a blueberry at the home, Nikki decided to give it to",Justice,Robin,Ian
"Then, Janet and Velma were thinking about going to the home. Velma wanted to give a coconut to",Janet,"Then, Hugo and Skye were thinking about going to the home. Sage wanted to give a coconut to",Arianna,Velma,Skye
Friends Dianne and Pat found a raspberry at the zoo. Pat gave it to,Dianne,Friends Zachary and Luke found a raspberry at the zoo. Veronica gave it to,Mitchell,Pat,Luke
The theater Lorraine and Erika went to had a banana. Erika gave it to,Lorraine,The theater Cristobal and Sadie went to had a banana. Ryan gave it to,Raymundo,Erika,Sadie
"Then, Irma and Doris had a lot of fun at the mountain. Irma gave a honeydew to",Doris,"Then, Jada and Caleigh had a lot of fun at the mountain. Daryl gave a honeydew to",Will,Irma,Jada
"Then, Anita and Kevin were working at the cafe. Kevin decided to give a peach to",Anita,"Then, Wayne and Edward were working at the cafe. Lincoln decided to give a peach to",Aurora,Kevin,Edward
"After the lunch, Jerry and Stacey went to the library. Stacey gave a banana to",Jerry,"After the lunch, Jimmy and Alisa went to the library. Kenyon gave a banana to",Jesse,Stacey,Alisa
"Then, Nellie and Robin had a lot of fun at the forest. Robin gave a cantaloupe to",Nellie,"Then, Gabriela and Danny had a lot of fun at the forest. Laila gave a cantaloupe to",Keanu,Robin,Danny
"After Brandy and Stacey went to the home, Stacey gave a pineapple to",Brandy,"After Arianna and Jewel went to the home, Kailyn gave a pineapple to",Dwayne,Stacey,Jewel
"While Rebecca and Lorraine were working at the library, Rebecca gave a cantaloupe to",Lorraine,"While Jacey and Travon were working at the library, Peyton gave a cantaloupe to",Selina,Rebecca,Jacey
"Then, Mark and Bernadette were thinking about going to the mountain. Bernadette wanted to give a watermelon to",Mark,"Then, Pierre and Brenna were thinking about going to the mountain. Ezra wanted to give a watermelon to",Fabian,Bernadette,Brenna
The cave Faye and Mattie went to had a grape. Faye gave it to,Mattie,The cave Stacey and Dayna went to had a grape. Pierre gave it to,Kamron,Faye,Stacey
"While Janet and Natasha were commuting to the beach, Natasha gave a watermelon to",Janet,"While Jeffrey and Gideon were commuting to the beach, Cassandra gave a watermelon to",Devon,Natasha,Gideon
"Then, Evelyn and Megan were thinking about going to the cafe. Megan wanted to give a peach to",Evelyn,"Then, Adolfo and Reagan were thinking about going to the cafe. Tatum wanted to give a peach to",Roland,Megan,Reagan
"Then, Leona and Sophia had a lot of fun at the school. Sophia gave a peach to",Leona,"Then, Paxton and Matteo had a lot of fun at the school. Carol gave a peach to",Mia,Sophia,Matteo
"While Stacy and Mona were commuting to the desert, Mona gave a grape to",Stacy,"While Xander and Jana were commuting to the desert, Laney gave a grape to",Karl,Mona,Jana
"While Geneva and Alicia were commuting to the theater, Geneva gave a mango to",Alicia,"While Shannon and Leroy were commuting to the theater, Nick gave a mango to",Maurice,Geneva,Shannon
"While Mona and Sarah were working at the gym, Mona gave a blueberry to",Sarah,"While Noe and Dean were working at the gym, Moshe gave a blueberry to",Stella,Mona,Noe
"When Richard and Janet got a blueberry at the river, Richard decided to give the blueberry to",Janet,"When Madison and Trey got a blueberry at the river, Ronald decided to give the blueberry to",Freddy,Richard,Madison
"Then, Kathryn and Mona had a lot of fun at the market. Mona gave a watermelon to",Kathryn,"Then, Mekhi and Tate had a lot of fun at the market. Brennon gave a watermelon to",Cameron,Mona,Tate
"Then, Velma and Alyssa were working at the cave. Velma decided to give a plum to",Alyssa,"Then, Elmer and Daphne were working at the cave. Abigale decided to give a plum to",Ray,Velma,Elmer
"When Ethel and Jessie got a raspberry at the zoo, Ethel decided to give the raspberry to",Jessie,"When Esther and Reanna got a raspberry at the zoo, Jaden decided to give the raspberry to",Diane,Ethel,Esther
"While Jackie and Amanda were commuting to the river, Jackie gave a grape to",Amanda,"While Jaclyn and Dane were commuting to the river, London gave a grape to",William,Jackie,Jaclyn
"Then, Natasha and Doris went to the park. Natasha gave a blueberry to",Doris,"Then, Kiana and Deanna went to the park. Enrique gave a blueberry to",Marian,Natasha,Kiana
"After Violet and Amanda went to the zoo, Violet gave a raspberry to",Amanda,"After Bennett and Troy went to the zoo, Sebastian gave a raspberry to",Ariel,Violet,Bennett
"Then, Deanna and Kristi were thinking about going to the school. Kristi wanted to give a cantaloupe to",Deanna,"Then, Dominic and Adeline were thinking about going to the school. Brendon wanted to give a cantaloupe to",Angelina,Kristi,Adeline
"While Virginia and Jackie were commuting to the bar, Jackie gave a coconut to",Virginia,"While Max and Lucas were commuting to the bar, Daisy gave a coconut to",Emily,Jackie,Lucas
"While Jessica and Jessie were commuting to the school, Jessica gave a cherry to",Jessie,"While Amy and Jewel were commuting to the school, Asia gave a cherry to",Bailey,Jessica,Amy
"Then, Yolanda and Stacey had a lot of fun at the park. Stacey gave a grape to",Yolanda,"Then, Brenton and Denise had a lot of fun at the park. Nicklaus gave a grape to",Estefania,Stacey,Denise
Friends Charlene and Irma found a pineapple at the cafe. Irma gave it to,Charlene,Friends Deon and Travis found a pineapple at the cafe. Aisha gave it to,Jarrett,Irma,Travis
"Then, Mattie and Maggie were thinking about going to the forest. Maggie wanted to give a honeydew to",Mattie,"Then, Samuel and Celina were thinking about going to the forest. Brenden wanted to give a honeydew to",Claire,Maggie,Celina
"Then, Mona and Mildred went to the zoo. Mona gave a apple to",Mildred,"Then, Dayna and Jadon went to the zoo. Mia gave a apple to",Alfredo,Mona,Dayna
"While Yolanda and Marilyn were working at the zoo, Marilyn gave a coconut to",Yolanda,"While Stefanie and Evelyn were working at the zoo, Regan gave a coconut to",Darrell,Marilyn,Evelyn
"After Susan and Gwen went to the cafe, Gwen gave a honeydew to",Susan,"After Phoenix and Easton went to the cafe, Brenna gave a honeydew to",Theresa,Gwen,Easton
"After Jody and Juana went to the school, Jody gave a banana to",Juana,"After Cali and Fidel went to the school, Gabriela gave a banana to",Layne,Jody,Cali
"When Martha and Anne got a grape at the school, Martha decided to give the grape to",Anne,"When Lane and Andy got a grape at the school, Christine decided to give the grape to",Lance,Martha,Lane
"While Kristi and Doris were working at the bar, Kristi gave a strawberry to",Doris,"While Marley and Layla were working at the bar, Lizeth gave a strawberry to",Janelle,Kristi,Marley
"After Sarah and Irma went to the school, Irma gave a banana to",Sarah,"After Ryan and Alexis went to the school, Leonard gave a banana to",Nora,Irma,Alexis
"Then, Anita and Irma were thinking about going to the home. Irma wanted to give a plum to",Anita,"Then, Dorian and Alison were thinking about going to the home. Ian wanted to give a plum to",Veronica,Irma,Alison
"After Grace and Loretta went to the store, Grace gave a watermelon to",Loretta,"After Aria and Kathleen went to the store, Gilbert gave a watermelon to",Kelvin,Grace,Aria
The mountain Jackie and Susan went to had a kiwi. Jackie gave it to,Susan,The mountain Lexie and Carl went to had a kiwi. Everett gave it to,Santiago,Jackie,Lexie
"After the lunch, Gwen and Marian went to the zoo. Gwen gave a kiwi to",Marian,"After the lunch, Ramon and Collin went to the zoo. Sylvia gave a kiwi to",Douglas,Gwen,Ramon
"Then, Jerry and Martha went to the desert. Martha gave a kiwi to",Jerry,"Then, Justice and Logan went to the desert. America gave a kiwi to",Cindy,Martha,Logan
"When Velma and Doris got a pineapple at the home, Velma decided to give it to",Doris,"When Stephon and Kacey got a pineapple at the home, Kyleigh decided to give it to",Pablo,Velma,Stephon
The home Sheila and Lula went to had a papaya. Lula gave it to,Sheila,The home Raul and Roland went to had a papaya. Kassidy gave it to,Denver,Lula,Roland
"When Carol and Alyssa got a honeydew at the store, Carol decided to give it to",Alyssa,"When Shayne and Beatriz got a honeydew at the store, Elisa decided to give it to",Sophie,Carol,Shayne
"Then, Gwen and Anita were working at the lake. Gwen decided to give a pineapple to",Anita,"Then, Jorge and Lesly were working at the lake. Diego decided to give a pineapple to",Haleigh,Gwen,Jorge
The library Deanna and Jackie went to had a cherry. Jackie gave it to,Deanna,The library Erik and Cameron went to had a cherry. Zion gave it to,Brandan,Jackie,Cameron
"When Kari and Amanda got a cantaloupe at the lake, Kari decided to give the cantaloupe to",Amanda,"When Rita and Bella got a cantaloupe at the lake, Elliott decided to give the cantaloupe to",Rasheed,Kari,Rita
"Then, Harriet and Leigh were working at the home. Leigh decided to give a raspberry to",Harriet,"Then, Sally and Winston were working at the home. Emerald decided to give a raspberry to",Ali,Leigh,Winston
"While Jacqueline and Eleanor were commuting to the forest, Eleanor gave a coconut to",Jacqueline,"While Alysha and Kameron were commuting to the forest, India gave a coconut to",Dawson,Eleanor,Kameron
Friends Janet and Melissa found a mango at the zoo. Melissa gave it to,Janet,Friends Douglas and Deborah found a mango at the zoo. Jonas gave it to,Ronald,Melissa,Deborah
"When Melanie and Kristi got a cantaloupe at the home, Kristi decided to give the cantaloupe to",Melanie,"When Jeanette and Kiera got a cantaloupe at the home, Ahmad decided to give the cantaloupe to",Felix,Kristi,Kiera
"While Stella and Kristi were commuting to the mountain, Kristi gave a cherry to",Stella,"While Dawn and Winston were commuting to the mountain, Adolfo gave a cherry to",Zachary,Kristi,Winston
"Then, Doris and Kristina went to the river. Kristina gave a pineapple to",Doris,"Then, Noe and Braden went to the river. Noah gave a pineapple to",Calista,Kristina,Braden
"After the lunch, Harriet and Melissa went to the cafe. Melissa gave a kiwi to",Harriet,"After the lunch, Alexa and Willie went to the cafe. Karen gave a kiwi to",Kelvin,Melissa,Willie
"Then, Miriam and Jerry had a lot of fun at the river. Miriam gave a blackberry to",Jerry,"Then, Freddy and Connor had a lot of fun at the river. Darrell gave a blackberry to",Jasmin,Miriam,Freddy
"While Erika and Heidi were working at the market, Erika gave a orange to",Heidi,"While Gino and Noel were working at the market, Ladarius gave a orange to",Maria,Erika,Gino
The mountain Sonia and Wilma went to had a plum. Sonia gave it to,Wilma,The mountain Kole and Cyrus went to had a plum. Arthur gave it to,Austen,Sonia,Kole
Friends Rachel and Sheila found a watermelon at the school. Rachel gave it to,Sheila,Friends Paul and Hana found a watermelon at the school. Victoria gave it to,Elizabeth,Rachel,Paul
The gym Rosa and Kevin went to had a cherry. Kevin gave it to,Rosa,The gym Myles and Houston went to had a cherry. Brock gave it to,Johnny,Kevin,Houston
The river Fannie and Kathryn went to had a papaya. Fannie gave it to,Kathryn,The river Belen and Salvador went to had a papaya. Gracie gave it to,Isaac,Fannie,Belen
Friends Nellie and Violet found a banana at the home. Violet gave it to,Nellie,Friends Cullen and Xander found a banana at the home. Araceli gave it to,Jasmine,Violet,Xander
"Then, Kristina and Stacy went to the library. Kristina gave a grape to",Stacy,"Then, Omar and Jamir went to the library. Delilah gave a grape to",Georgia,Kristina,Omar
Friends Theresa and Erika found a grape at the shop. Erika gave it to,Theresa,Friends Reese and Cooper found a grape at the shop. Tariq gave it to,Leonardo,Erika,Cooper
"When Ethel and Sheila got a grape at the park, Ethel decided to give it to",Sheila,"When Ashlyn and Eleanor got a grape at the park, Adeline decided to give it to",Gloria,Ethel,Ashlyn
